ID	Status	Idea/Description	Theme	Priority	Effort	Notes/Dependencies
RD-01	Done	Fix silent logouts: keep localStorage token mirror in sync with Supabase session + refresh-on-401 before logout	Auth/Reliability	P1	M	Done 2026-06-19 (032bc019). Root cause was stale token mirror vs Supabase auto-refresh.
RD-02	Done	Catalog enrichment: Open Library fallback for covers/descriptions when Google Books misses	Catalog	P1	M	Done 2026-06-19 (e5fc2893). Keyless fallback so enrichment works without GOOGLE_BOOKS_API_KEY. Backfill rerun still outstanding -> see RD-09.
RD-03	Done	Learning-tips email: biweekly Claude Haiku tip tied to user's currently-reading book	Engagement	P2	M	Done 2026-06-19 (1d2fa58a). Weekly Thu job + 13-day per-user cap = ~biweekly.
RD-04	Done	Server-side recommendation refresh paywall (3 free spins/UTC day; hard 429 over limit)	Monetization	P2	M	Done 2026-06-20 (cea7bd04). Replaced bypassable localStorage counter. This is the real revenue lever.
RD-05	Done	Critical-path backend tests + fix latent book lookup bug (UUID vs external_id)	Testing	P3	M	Done 2026-06-19 (5dc76132). Suite green (65 passed) and running in CI; needs Postgres TEST_DATABASE_URL.
RD-06	Done	Route-level code splitting with React.lazy	Performance	P3	S	Done (3d45a0b5).
RD-07	Done	Consolidate reading surfaces + ScrollTopButton + admin-gate /testing	UX	P3	M	Done (74fa5e03).
RD-08	Open	Onboarding auth-wall: decide and build the UX	Growth/Activation	P2	M	Deliberately held until real volume — correct call at ~3 signups. Funnel is now instrumented and session-consistent (data-ready as of 2026-06-20). BLOCKED ON: traffic, not code.
RD-09	Closed	Catalog backfill rerun on Render Shell (seed -> enrich -> tag -> optional dedupe)	Catalog	P3	S	CLOSED 2026-08-05 — premise was wrong. I inferred "catalog is dark" from the canon JSON seed files, not the DB. Render prod: 1150 books, 1035 recommendable, 1032 with knowledge_level. The catalog is fully seeded/enriched/tagged. Nothing to run. The real catalog problems are RD-23..RD-27.
RD-10	Done	Golden-set relevance eval harness: 10-15 persona->expected-book fixtures, assert expected title in top N	Rec Quality	P0	M	Done 2026-07-16. backend/tests/test_recommendation_relevance.py + fixtures/relevance_personas.json. 15 personas scored through get_recommendations_from_payload against the 84-book tagged canon. BASELINE: hit@3=53% hit@5=67% MRR=0.446. Ratchet asserts no regression; verified it fails on regression. Re-baseline deliberately in the same commit that earns an improvement. Unblocks RD-11, RD-12, RD-13, RD-16.
RD-11	Open	Fix challenge matching: replace substring scorers with the working domain-keyword path, and reconcile the bottleneck keyspace	Rec Quality	P0	M	Depends on RD-10. score_promise_match / score_framework_match / score_outcome_match (engine:147-171) and _score_from_stage_fit:1933 all do literal substring containment of free text -> effectively never fire. _build_user_insights emits bottleneck:{full sentence} while _get_book_insight_tags emits bottleneck:{tag} -> can never intersect. Consider one-time Claude classification of challenge at onboarding (on-brand with existing Haiku usage).
RD-12	Open	Give non-services/SaaS business_model real ranking signal	Rec Quality	P1	M	Depends on RD-10. business_model is free text (schema:51). Only service-like/saas-like get real weight via +6.0 canon boost (engine:1944-1961); product/marketplace/ecommerce founders get near-generic ranking. One of two required onboarding fields is mostly inert for them.
RD-13	Open	Delete the dead parallel scorer and redundant why-builders	Tech Debt	P1	S	Depends on RD-10 as a safety net. get_recommendations_for_user (engine:3165) + _calculate_stage_fit_score/_calculate_preference_score/_calculate_history_score/_calculate_category_boost are called by no router (~270+ lines). build_why_this_book and _build_why_this_book:1555 are superseded by build_why_this_book_v2. Two competing scorers in one 3439-line file invites silent drift.
RD-14	Open	Audit live catalog tag density (% of books with full business_stage_tags / functional_tags)	Catalog	P2	S	Silent ceiling on match quality: a book with no stage tag gets zero stage signal and leans entirely on problem-domain overlap. Related to RD-09. Tagging vocabulary itself is well-designed (generate_tags.py:37-61) and maps cleanly to FUNCTIONAL_TO_DOMAIN.
RD-15	Open	Improve 'why this book' specificity so explanations stop reading generic	Rec Quality/UX	P2	M	Downstream of RD-11 — blurbs fall back to stage+promise ('As you're in the Pre-revenue stage...') because challenge matching rarely fires. Generic-sounding explanations directly undercut the 'not another generic list' pitch, so this is conversion, not cosmetics.
RD-16	Open	Re-tune diversity penalty to the actual score scale	Rec Quality	P3	S	Depends on RD-10. Insight penalty 0.15 and author penalty 0.30 (_apply_diversity_penalty:731) are negligible against a +6.0 canon boost — it only reorders near-ties today, not what it appears to do.
RD-17	Open	Amazon prop store: wire real associate tag + hand-picked ASIN list	Commerce	P2	S	BLOCKED ON FOUNDER: real Associates tag -> Vercel VITE_AMAZON_ASSOC_TAG, plus exact ASINs so search links become /dp/ links. Prop store is intentionally throwaway (frontend/src/store/). Prior rejection reason: 'not a clear use of an affiliate account'.
RD-18	Open	Get 3 qualifying book sales to unlock Amazon PA API	Commerce	P2	M	Depends on RD-17. 'Validation' = 3 sales within 180 days of approval. Line up 5-6 buyers for buffer. Genuine purchases only; drive to the site, never paste affiliate links in email/DM. Revenue here is symbolic — the subscription paywall (RD-04) is the real lever.
RD-19	Open	Decide the fate of frontend/src/ontrack/ scaffold	Tech Debt	P3	XS	Untracked; contains only ontrack.css (136 lines) and is not imported anywhere. Ship it or delete it before it rots.
RD-20	Open	Prune stale root-level docs + fix README drift	Docs	P3	S	Seven stale root .md files (409_DIAGNOSTIC_CHANGES, 409_FIX_SUMMARY, CATALOG_DIAGNOSIS, CATALOG_INGESTION_SUMMARY, DIAGNOSTICS, PR_DIFF_SUMMARY, PR_IDENTITY_LINKING_FIX). README still documents POST /auth/signup + /auth/login password endpoints and 'JWT tokens stored in localStorage' although the app uses Supabase magic links.
RD-21	Open	Canon boost (+6.0) overwhelms the problem-domain signal (3.0/overlap), so service/SaaS users get canon-ranked results regardless of their stated challenge	Rec Quality	P0	M	Found by RD-10, arguably bigger than RD-11. Evidence from the scoreboard: P10 says "completely burned out, 70-hour weeks, close to walking away" and gets Book Yourself Solid (a lead-gen book); P09 (no cash in bank) ranks Pricing Creativity above Profit First; P08 (managing managers) ranks Measure What Matters above High Output Management. engine:1944-1961. Re-balance canon vs problem weight and re-measure against the RD-10 baseline.
RD-22	Open	Seed canon tags do not conform to the controlled vocabulary the matcher uses	Catalog	P1	S	seed_books.py writes tags verbatim with no vocabulary validation (lines 246-248/277-279/309-311). 21% of functional-tag uses across the canon (45/211) map to NO knowledge domain and are silently dropped by _score_from_problem — e.g. mindset(16), positioning(5), customer_development(3), systems, go_to_market. Also 22 uses of a "mature" stage absent from STAGE_ORDER, so _stage_distance returns None. generate_tags.py enforces the vocab but seed_books bypasses it. Related RD-14.
RD-23	Done	Topic gate: stop off-topic imported books from entering the recommendation pool	Catalog	P0	M	BUILT 2026-08-05, NOT YET RUN ON PROD. models.py topic_fit/topic_fit_reason + TOPIC_FIT_{CORE,ADJACENT,OFF}; migration a7b8c9d0e1f2 (upgrade+downgrade verified on scratch DB, single head); gate in candidate_books_query (4 call sites, engine-only — user libraries unaffected); app/scripts/screen_book_topics.py (Haiku, resumable --limit, --dry-run, --rescreen); tests/test_topic_gate.py (7 tests). FAILS OPEN on NULL — verified inert: RD-10 baseline unmoved at hit@3=53%/MRR=0.446, suite 81 passed. THREE-WAY verdict is load-bearing: a binary business/not-business gate would exclude canon (Atomic Habits, Deep Work, Mindset). Validation: 8/9 on hard cases; random n=40 -> core 19 / adjacent 16 / off_topic 5 = 12%% exclusion, zero false positives (caught Lenin, a game-theory textbook, a filmmaking manual, novel-writing, relationship advice). KNOWN TUNING GAP: sports writing (Trail Blazers season diary) classified adjacent despite being listed as an off_topic example. NEXT: run on prod (~1035 books, <$1, ~30-40 min) — needs founder go-ahead.
RD-24	Open	Tag resolution too coarse: the engine cannot tell most books apart	Rec Quality	P0	M	PROD: 1035 recommendable books -> only 308 distinct functional-tag signatures = 3.4 books per fingerprint (worse than local 2.7). Local head clusters: {communication,culture,hiring,leadership}=52 books, {communication,culture,leadership}=47. Books sharing a signature are literally indistinguishable to the scorer, so ranking among them is arbitrary. No scoring change (RD-11/RD-21) can fix a tie the inputs cannot break. Cheapest lever is RD-25.
RD-25	Open	recommendation_engine.py ignores knowledge_level, which prod already has on 90% of books	Rec Quality	P1	S	knowledge_level (1-5 altitude: 1=mindset/awareness .. 5=step-by-step playbook) is set on 1032/1150 prod books, but grep shows it is referenced ONLY in models.py, reading_history.py, generate_tags.py and founder_knowledge.py — NOT in the recommender. It is a free, already-paid-for differentiation axis that would split the 52 identical leadership books into reflective vs tactical. Direct partial fix for RD-24. Measure against the RD-10 baseline.
RD-26	Open	Duplicate editions and translations compete with each other in ranking	Catalog	P1	S	Local DB: "zero to one" x3, "the hard thing about hard things" x3, "the innovator's dilemma" x3, "first, break all the rules" x3, "game theory" x4; plus translations (南瓜計畫 = The Pumpkin Plan) and a "Miniature Edition" of How to Win Friends. dedupe_books.py already exists and appears never to have been run. Re-verify counts on prod before running --apply.
RD-27	Open	book_sources table is empty: no provenance, so curated canon is indistinguishable from user imports	Catalog	P1	M	The table exists (migration add_book_sources_table) with source_name/source_rank/match_strategy columns but has ZERO rows. Consequence: nothing separates a vetted canon pick from a stranger Goodreads row, and one user importing a niche library floods everyone (16 game-theory books found locally). Populate on both seed and import paths. Enables ranking curated above imported.
RD-28	Open	Local dev DB has diverged from production	Tech Debt	P2	S	Local readar: 996 books, knowledge_level on 5. Render prod: 1150 books, knowledge_level on 1032. Local is stale AND divergent, which is how I reached two wrong conclusions this session (RD-09 premise, and a knowledge_level backfill that prod did not need). Need a documented refresh path or a clear note that local is not representative.
RD-29	Open	Topic-gate tuning: sports/team-sport narratives slip through as adjacent	Catalog	P3	XS	Found validating RD-23. "The Long, Hot Winter: A Year in the Life of the Portland Trail Blazers" -> adjacent, though sports writing is an explicit off_topic example in the prompt. The deliberate generosity bias (rule 3: when torn, choose adjacent) is over-firing here. Low priority — one book, and erring toward inclusion is the safer failure mode. Revisit after a full prod run shows the real rate.
